iter	Passed	Remaining
0	101	101355
1	112	56357
2	133	44394
3	140	35007
4	164	32656
5	188	31284
6	196	27909
7	209	25930
8	222	24471
9	232	23036
10	245	22031
11	250	20616
12	256	19445
13	266	18737
14	285	18725
15	296	18210
16	316	18290
17	391	21364
18	398	20571
19	408	20029
20	440	20557
21	449	19999
22	459	19516
23	484	19721
24	516	20138
25	531	19906
26	548	19760
27	552	19171
28	560	18765
29	576	18639
30	581	18175
31	594	17990
32	615	18030
33	627	17835
34	635	17512
35	644	17270
36	652	16993
37	661	16756
38	669	16488
39	677	16264
40	685	16028
41	691	15767
42	700	15596
43	707	15372
44	713	15150
45	722	14977
46	739	15003
47	759	15064
48	784	15230
49	813	15453
50	836	15573
51	847	15458
52	863	15429
53	871	15260
54	877	15080
55	885	14930
56	893	14787
57	900	14633
58	907	14477
59	914	14329
60	922	14197
61	928	14042
62	938	13960
63	977	14292
64	994	14299
65	1001	14167
66	1014	14128
67	1041	14269
68	1048	14145
69	1057	14050
70	1062	13906
71	1072	13819
72	1080	13716
73	1088	13614
74	1106	13644
75	1109	13492
76	1119	13422
77	1143	13516
78	1152	13433
79	1159	13334
80	1172	13297
81	1189	13317
82	1202	13284
83	1211	13215
84	1234	13283
85	1256	13357
86	1268	13307
87	1282	13293
88	1304	13349
89	1310	13253
90	1317	13159
91	1333	13158
92	1341	13087
93	1350	13018
94	1367	13030
95	1389	13088
96	1400	13038
97	1406	12949
98	1423	12958
99	1431	12879
100	1440	12824
101	1452	12790
102	1484	12923
103	1486	12805
104	1492	12722
105	1519	12813
106	1525	12728
107	1533	12662
108	1541	12598
109	1575	12743
110	1584	12692
111	1591	12616
112	1599	12552
113	1616	12560
114	1627	12522
115	1634	12457
116	1640	12380
117	1642	12276
118	1649	12212
119	1673	12272
120	1680	12210
121	1686	12139
122	1719	12258
123	1725	12190
124	1730	12116
125	1765	12243
126	1788	12296
127	1813	12356
128	1836	12402
129	1851	12388
130	1861	12346
131	1898	12483
132	1904	12412
133	1909	12338
134	1929	12362
135	1949	12387
136	1952	12298
137	1954	12210
138	1985	12301
139	2011	12355
140	2040	12429
141	2059	12446
142	2064	12369
143	2076	12341
144	2083	12287
145	2090	12225
146	2101	12193
147	2116	12181
148	2155	12309
149	2157	12226
150	2167	12185
151	2183	12179
152	2195	12153
153	2207	12128
154	2215	12080
155	2223	12029
156	2231	11979
157	2278	12143
158	2281	12067
159	2293	12041
160	2321	12098
161	2391	12369
162	2424	12452
163	2451	12494
164	2477	12539
165	2491	12515
166	2518	12564
167	2528	12519
168	2571	12642
169	2574	12571
170	2581	12515
171	2620	12614
172	2626	12555
173	2632	12498
174	2640	12446
175	2645	12383
176	2649	12319
177	2670	12333
178	2752	12623
179	2760	12577
180	2771	12542
181	2787	12526
182	2798	12496
183	2801	12425
184	2818	12417
185	2825	12366
186	2836	12331
187	2843	12282
188	2851	12236
189	2864	12212
190	2881	12206
191	2902	12214
192	2924	12227
193	2933	12186
194	2940	12139
195	2949	12098
196	2955	12047
197	2974	12047
198	2994	12052
199	3004	12016
200	3016	11989
201	3028	11963
202	3058	12007
203	3083	12031
204	3091	11987
205	3099	11945
206	3111	11919
207	3138	11951
208	3164	11975
209	3196	12024
210	3204	11982
211	3211	11935
212	3225	11916
213	3248	11930
214	3271	11943
215	3310	12016
216	3330	12018
217	3346	12003
218	3374	12032
219	3419	12122
220	3464	12211
221	3472	12168
222	3480	12127
223	3493	12102
224	3514	12105
225	3527	12082
226	3555	12108
227	3565	12071
228	3589	12084
229	3603	12064
230	3619	12048
231	3690	12218
232	3734	12293
233	3748	12272
234	3769	12269
235	3805	12320
236	3823	12310
237	3855	12344
238	3904	12432
239	3910	12383
240	3922	12353
241	3947	12363
242	3964	12351
243	3987	12355
244	4011	12360
245	4023	12331
246	4032	12294
247	4039	12249
248	4048	12210
249	4057	12172
250	4064	12129
251	4085	12127
252	4100	12108
253	4110	12072
254	4116	12027
255	4121	11977
256	4126	11929
257	4145	11922
258	4161	11906
259	4196	11943
260	4222	11955
261	4233	11925
262	4239	11881
263	4246	11839
264	4251	11793
265	4257	11747
266	4262	11700
267	4267	11655
268	4272	11609
269	4276	11562
270	4280	11515
271	4285	11468
272	4289	11423
273	4294	11379
274	4299	11334
275	4303	11289
276	4308	11245
277	4313	11202
278	4317	11156
279	4321	11113
280	4325	11067
281	4330	11024
282	4334	10980
283	4338	10937
284	4342	10895
285	4347	10852
286	4351	10811
287	4356	10769
288	4359	10725
289	4363	10683
290	4368	10642
291	4372	10602
292	4377	10563
293	4382	10523
294	4386	10483
295	4390	10441
296	4394	10401
297	4398	10361
298	4401	10319
299	4406	10280
300	4410	10242
301	4414	10202
302	4418	10164
303	4423	10127
304	4427	10089
305	4432	10051
306	4437	10015
307	4441	9979
308	4444	9939
309	4449	9903
310	4453	9866
311	4457	9830
312	4461	9792
313	4465	9755
314	4469	9720
315	4474	9684
316	4478	9649
317	4482	9613
318	4487	9579
319	4491	9544
320	4495	9508
321	4499	9473
322	4503	9439
323	4508	9406
324	4512	9372
325	4516	9338
326	4520	9302
327	4523	9267
328	4528	9235
329	4532	9202
330	4537	9170
331	4540	9135
332	4543	9101
333	4547	9068
334	4550	9033
335	4555	9001
336	4559	8970
337	4564	8939
338	4568	8908
339	4571	8873
340	4575	8842
341	4580	8812
342	4584	8781
343	4589	8751
344	4594	8721
345	4598	8691
346	4601	8659
347	4606	8631
348	4611	8602
349	4616	8573
350	4620	8543
351	4625	8515
352	4629	8485
353	4634	8456
354	4636	8423
355	4640	8394
356	4643	8363
357	4647	8334
358	4650	8302
359	4656	8278
360	4660	8249
361	4664	8220
362	4668	8192
363	4673	8165
364	4677	8137
365	4681	8109
366	4686	8082
367	4690	8055
368	4694	8028
369	4698	8000
370	4702	7971
371	4705	7943
372	4709	7916
373	4714	7890
374	4717	7862
375	4721	7836
376	4726	7810
377	4730	7783
378	4734	7757
379	4738	7731
380	4742	7705
381	4744	7676
382	4747	7647
383	4750	7621
384	4754	7595
385	4758	7569
386	4763	7545
387	4768	7521
388	4773	7497
389	4777	7472
390	4782	7448
391	4785	7422
392	4790	7398
393	4794	7374
394	4799	7350
395	4804	7327
396	4808	7302
397	4812	7279
398	4817	7256
399	4822	7233
400	4826	7209
401	4830	7186
402	4835	7162
403	4839	7139
404	4843	7116
405	4848	7093
406	4852	7070
407	4857	7047
408	4860	7023
409	4864	7000
410	4869	6978
411	4874	6956
412	4878	6934
413	4883	6911
414	4887	6889
415	4891	6866
416	4895	6844
417	4899	6822
418	4903	6799
419	4908	6778
420	4912	6756
421	4917	6735
422	4922	6714
423	4926	6692
424	4930	6671
425	4935	6649
426	4939	6628
427	4943	6606
428	4947	6585
429	4952	6565
430	4957	6544
431	4961	6523
432	4966	6503
433	4970	6482
434	4974	6461
435	4979	6441
436	4983	6420
437	4987	6399
438	4991	6379
439	4996	6359
440	5001	6340
441	5006	6319
442	5010	6299
443	5015	6280
444	5019	6260
445	5024	6240
446	5028	6221
447	5033	6201
448	5037	6181
449	5042	6162
450	5046	6143
451	5051	6124
452	5055	6104
453	5060	6085
454	5064	6066
455	5068	6047
456	5073	6027
457	5078	6009
458	5082	5991
459	5087	5972
460	5091	5953
461	5095	5934
462	5100	5915
463	5104	5896
464	5109	5878
465	5114	5860
466	5118	5841
467	5122	5823
468	5126	5804
469	5131	5786
470	5135	5768
471	5139	5749
472	5144	5731
473	5148	5713
474	5152	5695
475	5156	5676
476	5161	5658
477	5165	5640
478	5169	5622
479	5173	5604
480	5178	5587
481	5183	5570
482	5187	5552
483	5192	5535
484	5196	5517
485	5201	5500
486	5205	5483
487	5209	5466
488	5213	5448
489	5218	5431
490	5222	5414
491	5226	5396
492	5230	5379
493	5235	5362
494	5238	5344
495	5242	5327
496	5246	5310
497	5251	5293
498	5255	5276
499	5260	5260
500	5263	5242
501	5266	5224
502	5270	5207
503	5275	5191
504	5279	5175
505	5282	5157
506	5287	5141
507	5291	5124
508	5296	5109
509	5301	5093
510	5306	5077
511	5310	5061
512	5314	5045
513	5319	5029
514	5323	5013
515	5328	4997
516	5332	4982
517	5337	4966
518	5341	4950
519	5346	4935
520	5351	4919
521	5355	4904
522	5359	4888
523	5363	4872
524	5368	4857
525	5372	4841
526	5377	4826
527	5381	4810
528	5385	4795
529	5390	4780
530	5395	4765
531	5399	4749
532	5404	4735
533	5408	4719
534	5413	4704
535	5417	4689
536	5422	4675
537	5426	4660
538	5431	4645
539	5436	4630
540	5440	4616
541	5445	4601
542	5449	4586
543	5454	4571
544	5458	4557
545	5463	4542
546	5468	4528
547	5472	4513
548	5477	4499
549	5480	4483
550	5484	4469
551	5489	4454
552	5493	4440
553	5497	4426
554	5502	4411
555	5506	4397
556	5510	4382
557	5515	4369
558	5520	4355
559	5525	4341
560	5529	4327
561	5534	4313
562	5538	4299
563	5543	4285
564	5546	4270
565	5551	4256
566	5555	4242
567	5559	4228
568	5563	4214
569	5568	4200
570	5572	4187
571	5577	4173
572	5582	4160
573	5586	4146
574	5591	4132
575	5595	4118
576	5600	4105
577	5604	4092
578	5608	4078
579	5613	4064
580	5617	4051
581	5622	4038
582	5627	4024
583	5632	4011
584	5637	3998
585	5641	3985
586	5645	3972
587	5650	3959
588	5655	3946
589	5659	3932
590	5663	3919
591	5668	3906
592	5672	3893
593	5677	3880
594	5681	3867
595	5686	3854
596	5690	3841
597	5695	3828
598	5699	3815
599	5704	3802
600	5709	3790
601	5713	3777
602	5718	3764
603	5723	3752
604	5727	3739
605	5732	3726
606	5736	3714
607	5741	3701
608	5744	3688
609	5749	3675
610	5753	3662
611	5758	3650
612	5762	3637
613	5767	3625
614	5771	3613
615	5776	3600
616	5780	3588
617	5785	3576
618	5790	3564
619	5794	3551
620	5799	3539
621	5803	3526
622	5807	3514
623	5812	3502
624	5817	3490
625	5821	3478
626	5825	3465
627	5830	3453
628	5835	3441
629	5839	3429
630	5844	3417
631	5848	3405
632	5852	3393
633	5857	3381
634	5860	3368
635	5865	3356
636	5869	3344
637	5874	3332
638	5878	3320
639	5882	3308
640	5885	3296
641	5890	3284
642	5895	3273
643	5899	3261
644	5903	3249
645	5908	3237
646	5912	3225
647	5916	3214
648	5921	3202
649	5925	3190
650	5929	3178
651	5933	3167
652	5938	3155
653	5943	3144
654	5947	3132
655	5952	3121
656	5956	3109
657	5960	3097
658	5964	3086
659	5969	3075
660	5973	3063
661	5978	3052
662	5982	3040
663	5987	3029
664	5991	3018
665	5995	3006
666	6000	2995
667	6004	2984
668	6009	2973
669	6013	2961
670	6017	2950
671	6021	2939
672	6026	2928
673	6031	2917
674	6036	2906
675	6039	2894
676	6044	2883
677	6048	2872
678	6052	2861
679	6056	2850
680	6061	2839
681	6065	2828
682	6070	2817
683	6074	2806
684	6079	2795
685	6084	2784
686	6088	2773
687	6093	2763
688	6098	2752
689	6102	2741
690	6107	2731
691	6111	2720
692	6116	2709
693	6120	2698
694	6125	2688
695	6130	2677
696	6135	2667
697	6139	2656
698	6144	2645
699	6148	2634
700	6152	2624
701	6157	2613
702	6161	2603
703	6166	2592
704	6170	2582
705	6174	2571
706	6178	2560
707	6183	2550
708	6187	2539
709	6192	2529
710	6196	2518
711	6200	2508
712	6205	2497
713	6209	2487
714	6213	2476
715	6218	2466
716	6222	2456
717	6225	2445
718	6230	2434
719	6234	2424
720	6239	2414
721	6244	2404
722	6249	2394
